iter	Passed	Remaining
0	1	1899
1	3	1815
2	5	1710
3	6	1670
4	8	1640
5	9	1633
6	11	1623
7	13	1614
8	14	1624
9	16	1635
10	18	1643
11	20	1663
12	21	1660
13	23	1658
14	25	1655
15	26	1653
16	28	1653
17	30	1663
18	32	1670
19	34	1676
20	36	1694
21	37	1681
22	39	1681
23	41	1680
24	43	1680
25	44	1678
26	46	1680
27	48	1684
28	50	1693
29	52	1692
30	54	1694
31	56	1702
32	58	1701
33	59	1699
34	61	1698
35	63	1702
36	65	1700
37	67	1701
38	68	1699
39	70	1695
40	72	1693
41	74	1691
42	75	1688
43	77	1686
44	79	1684
45	81	1681
46	83	1685
47	85	1694
48	87	1697
49	89	1697
50	91	1695
51	92	1693
52	94	1689
53	96	1686
54	98	1690
55	99	1685
56	101	1683
57	103	1682
58	105	1680
59	107	1679
60	109	1678
61	110	1676
62	112	1678
63	114	1677
64	116	1677
65	118	1677
66	120	1675
67	122	1673
68	123	1671
69	125	1669
70	127	1671
71	129	1674
72	131	1671
73	133	1668
74	135	1666
75	136	1663
76	138	1661
77	140	1658
78	142	1656
79	143	1653
80	145	1650
81	147	1647
82	148	1645
83	150	1642
84	152	1639
85	154	1636
86	155	1634
87	157	1631
88	159	1628
89	160	1621
90	162	1618
91	163	1615
92	165	1613
93	167	1610
94	168	1607
95	170	1605
96	172	1602
97	173	1600
98	175	1597
99	177	1595
100	178	1592
101	180	1589
102	182	1587
103	183	1584
104	185	1581
105	187	1579
106	189	1579
107	191	1578
108	192	1576
109	194	1573
110	196	1571
111	197	1569
112	199	1567
113	201	1565
114	203	1563
115	204	1561
116	206	1559
117	208	1557
118	210	1555
119	211	1552
120	213	1550
121	215	1548
122	216	1546
123	218	1545
124	220	1544
125	222	1542
126	224	1540
127	225	1538
128	227	1536
129	229	1534
130	230	1531
131	232	1530
132	234	1529
133	236	1527
134	238	1525
135	239	1523
136	241	1521
137	243	1519
138	245	1517
139	246	1515
140	248	1513
141	250	1512
142	252	1510
143	253	1508
144	255	1507
145	257	1506
146	259	1505
147	261	1503
148	262	1502
149	264	1498
150	266	1496
151	267	1494
152	269	1492
153	271	1491
154	273	1489
155	275	1488
156	276	1486
157	278	1485
158	280	1484
159	282	1482
160	284	1481
161	285	1479
162	287	1477
163	289	1475
164	291	1473
165	292	1471
166	294	1469
167	296	1467
168	297	1465
169	299	1463
170	301	1461
171	303	1460
172	305	1459
173	307	1457
174	308	1455
175	310	1454
176	312	1452
177	314	1450
178	315	1449
179	317	1447
180	319	1446
181	321	1444
182	323	1443
183	325	1441
184	326	1439
185	328	1438
186	330	1436
187	332	1435
188	333	1433
189	335	1431
190	337	1429
191	339	1426
192	340	1424
193	342	1422
194	344	1420
195	345	1418
196	347	1416
197	349	1415
198	351	1413
199	352	1411
200	354	1409
201	356	1407
202	357	1405
203	359	1403
204	361	1401
205	363	1399
206	364	1398
207	366	1396
208	368	1395
209	370	1393
210	372	1391
211	373	1390
212	375	1388
213	377	1387
214	379	1385
215	381	1384
216	383	1382
217	384	1380
218	386	1378
219	388	1376
220	389	1374
221	391	1372
222	393	1370
223	394	1368
224	396	1366
225	398	1364
226	399	1362
227	401	1359
228	403	1357
229	404	1355
230	406	1353
231	408	1352
232	410	1349
233	411	1348
234	413	1346
235	415	1344
236	417	1343
237	419	1341
238	420	1339
239	422	1338
240	424	1336
241	426	1334
242	427	1332
243	429	1330
244	431	1328
245	432	1326
246	434	1324
247	436	1322
248	438	1321
249	439	1319
250	441	1317
251	443	1316
252	445	1314
253	446	1312
254	448	1311
255	450	1309
256	452	1308
257	454	1306
258	456	1305
259	458	1304
260	460	1304
261	462	1303
262	464	1302
263	466	1301
264	468	1300
265	470	1299
266	472	1297
267	474	1295
268	475	1292
269	477	1291
270	479	1289
271	481	1287
272	483	1286
273	484	1284
274	486	1283
275	488	1281
276	490	1279
277	492	1278
278	494	1277
279	496	1275
280	497	1273
281	499	1271
282	501	1269
283	503	1268
284	504	1266
285	506	1264
286	508	1263
287	510	1262
288	512	1260
289	514	1259
290	515	1257
291	517	1255
292	519	1253
293	521	1251
294	523	1249
295	525	1249
296	527	1248
297	529	1247
298	530	1244
299	532	1243
300	534	1241
301	536	1240
302	538	1239
303	540	1238
304	542	1236
305	544	1235
306	546	1233
307	548	1232
308	550	1230
309	552	1228
310	553	1227
311	555	1224
312	557	1223
313	559	1222
314	561	1221
315	563	1219
316	565	1218
317	567	1216
318	569	1214
319	571	1213
320	572	1212
321	574	1210
322	576	1209
323	578	1207
324	580	1205
325	582	1203
326	584	1202
327	586	1200
328	588	1199
329	589	1197
330	591	1195
331	593	1193
332	595	1191
333	596	1190
334	598	1188
335	600	1186
336	602	1184
337	604	1184
338	606	1182
339	608	1180
340	610	1179
341	612	1178
342	614	1176
343	616	1175
344	618	1174
345	620	1172
346	622	1170
347	623	1168
348	625	1166
349	627	1165
350	629	1164
351	631	1162
352	633	1160
353	635	1159
354	637	1157
355	639	1156
356	641	1154
357	643	1154
358	645	1152
359	647	1151
360	649	1149
361	651	1148
362	653	1146
363	655	1144
364	656	1142
365	658	1140
366	660	1138
367	662	1137
368	663	1135
369	665	1133
370	667	1131
371	669	1129
372	670	1127
373	672	1125
374	674	1123
375	676	1121
376	677	1120
377	679	1118
378	681	1115
379	682	1113
380	684	1112
381	686	1110
382	688	1108
383	689	1106
384	691	1104
385	693	1102
386	695	1101
387	697	1099
388	699	1098
389	700	1096
390	702	1094
391	704	1092
392	706	1090
393	708	1089
394	710	1087
395	711	1085
396	713	1083
397	715	1082
398	717	1080
399	718	1078
400	720	1076
401	722	1074
402	724	1072
403	725	1070
404	727	1069
405	729	1067
406	731	1065
407	732	1063
408	734	1061
409	736	1059
410	738	1057
411	740	1056
412	742	1055
413	744	1053
414	746	1052
415	748	1051
416	750	1049
417	753	1048
418	755	1047
419	757	1045
420	759	1044
421	761	1042
422	763	1041
423	765	1040
424	767	1038
425	769	1037
426	771	1035
427	774	1034
428	776	1032
429	778	1031
430	780	1029
431	782	1028
432	784	1026
433	786	1025
434	787	1023
435	789	1021
436	791	1019
437	794	1019
438	796	1018
439	799	1017
440	801	1016
441	804	1015
442	806	1013
443	809	1013
444	813	1014
445	815	1013
446	817	1011
447	819	1010
448	821	1008
449	823	1006
450	825	1004
451	827	1003
452	829	1001
453	831	1000
454	834	999
455	836	997
456	838	995
457	839	993
458	841	992
459	843	990
460	845	988
461	847	987
462	849	985
463	851	983
464	853	982
465	855	980
466	858	979
467	860	977
468	862	976
469	864	974
470	866	973
471	867	970
472	869	968
473	871	967
474	873	965
475	875	963
476	877	962
477	879	960
478	881	958
479	883	957
480	885	955
481	887	954
482	889	952
483	892	951
484	894	949
485	896	948
486	898	946
487	900	944
488	902	943
489	905	942
490	907	940
491	909	939
492	912	938
493	914	936
494	916	935
495	918	933
496	920	931
497	923	930
498	924	928
499	927	927
500	929	925
501	931	924
502	933	922
503	935	920
504	937	919
505	939	917
506	942	916
507	944	914
508	946	913
509	949	911
510	951	910
511	953	908
512	955	907
513	957	905
514	959	903
515	961	902
516	963	900
517	966	898
518	968	897
519	969	895
520	971	893
521	973	891
522	975	890
523	977	888
524	980	887
525	982	885
526	984	883
527	987	882
528	989	880
529	991	879
530	993	877
531	995	875
532	997	873
533	999	872
534	1001	870
535	1002	868
536	1004	866
537	1006	864
538	1008	862
539	1010	860
540	1012	859
541	1014	857
542	1016	855
543	1018	854
544	1020	852
545	1022	850
546	1024	848
547	1026	846
548	1028	845
549	1030	843
550	1032	841
551	1034	839
552	1036	837
553	1038	835
554	1040	834
555	1042	832
556	1044	830
557	1046	828
558	1048	826
559	1050	825
560	1052	823
561	1054	821
562	1056	819
563	1057	817
564	1059	815
565	1061	813
566	1062	811
567	1064	809
568	1066	807
569	1067	805
570	1069	803
571	1071	801
572	1073	799
573	1074	797
574	1076	795
575	1078	793
576	1080	791
577	1081	789
578	1083	787
579	1085	786
580	1087	784
581	1089	782
582	1091	780
583	1093	778
584	1094	776
585	1096	774
586	1098	772
587	1100	771
588	1102	769
589	1104	767
590	1106	765
591	1108	763
592	1109	761
593	1111	759
594	1113	757
595	1115	756
596	1117	754
597	1119	752
598	1120	750
599	1122	748
600	1124	746
601	1126	744
602	1127	742
603	1129	740
604	1131	738
605	1133	736
606	1135	734
607	1136	732
608	1138	731
609	1140	729
610	1142	727
611	1144	725
612	1145	723
613	1147	721
614	1149	719
615	1150	717
616	1152	715
617	1154	713
618	1155	711
619	1157	709
620	1159	707
621	1160	705
622	1162	703
623	1164	701
624	1165	699
625	1167	697
626	1169	695
627	1171	693
628	1173	691
629	1174	690
630	1176	688
631	1180	687
632	1182	685
633	1184	683
634	1187	682
635	1189	680
636	1191	679
637	1193	677
638	1196	675
639	1198	674
640	1200	672
641	1202	670
642	1204	668
643	1207	667
644	1209	665
645	1211	663
646	1213	662
647	1216	660
648	1218	659
649	1221	657
650	1223	656
651	1226	654
652	1228	652
653	1230	651
654	1233	649
655	1235	647
656	1238	646
657	1240	644
658	1242	642
659	1244	641
660	1246	639
661	1249	637
662	1251	636
663	1253	634
664	1256	632
665	1258	631
666	1260	629
667	1263	627
668	1265	626
669	1267	624
670	1269	622
671	1272	621
672	1274	619
673	1277	617
674	1279	616
675	1282	614
676	1284	612
677	1287	611
678	1289	609
679	1292	608
680	1295	606
681	1298	605
682	1301	604
683	1303	602
684	1306	600
685	1308	599
686	1311	597
687	1313	595
688	1314	593
689	1317	591
690	1319	589
691	1321	588
692	1323	586
693	1325	584
694	1328	582
695	1330	581
696	1332	579
697	1334	577
698	1336	575
699	1338	573
700	1340	571
701	1343	570
702	1346	568
703	1348	567
704	1351	565
705	1353	563
706	1355	561
707	1358	560
708	1361	558
709	1363	556
710	1365	555
711	1367	553
712	1370	551
713	1372	549
714	1374	547
715	1376	546
716	1379	544
717	1381	542
718	1383	540
719	1384	538
720	1386	536
721	1388	534
722	1390	532
723	1393	531
724	1395	529
725	1396	527
726	1398	525
727	1400	523
728	1402	521
729	1403	519
730	1405	517
731	1407	515
732	1409	513
733	1410	511
734	1412	509
735	1414	507
736	1416	505
737	1418	503
738	1419	501
739	1421	499
740	1423	497
741	1425	495
742	1427	493
743	1428	491
744	1430	489
745	1432	487
746	1434	485
747	1436	483
748	1437	481
749	1439	479
750	1441	477
751	1442	475
752	1444	473
753	1446	471
754	1447	469
755	1449	467
756	1451	465
757	1452	463
758	1454	461
759	1456	459
760	1458	457
761	1459	455
762	1461	453
763	1463	452
764	1465	450
765	1466	448
766	1468	446
767	1470	444
768	1472	442
769	1473	440
770	1475	438
771	1477	436
772	1478	434
773	1480	432
774	1482	430
775	1484	428
776	1485	426
777	1487	424
778	1489	422
779	1490	420
780	1492	418
781	1494	416
782	1495	414
783	1497	412
784	1499	410
785	1500	408
786	1502	406
787	1503	404
788	1505	402
789	1507	400
790	1508	398
791	1510	396
792	1512	394
793	1513	392
794	1515	390
795	1517	388
796	1518	386
797	1520	384
798	1522	382
799	1524	381
800	1525	379
801	1527	377
802	1529	375
803	1531	373
804	1532	371
805	1534	369
806	1536	367
807	1538	365
808	1540	363
809	1541	361
810	1543	359
811	1545	357
812	1547	355
813	1548	353
814	1550	351
815	1552	350
816	1554	348
817	1555	346
818	1557	344
819	1559	342
820	1561	340
821	1562	338
822	1564	336
823	1566	334
824	1567	332
825	1569	330
826	1571	328
827	1573	326
828	1574	324
829	1576	322
830	1578	321
831	1580	319
832	1582	317
833	1584	315
834	1586	313
835	1588	311
836	1590	309
837	1592	307
838	1594	306
839	1596	304
840	1599	302
841	1601	300
842	1603	298
843	1605	296
844	1607	294
845	1609	292
846	1611	291
847	1613	289
848	1616	287
849	1618	285
850	1620	283
851	1622	281
852	1626	280
853	1628	278
854	1631	276
855	1633	274
856	1635	272
857	1638	271
858	1640	269
859	1642	267
860	1643	265
861	1646	263
862	1648	261
863	1650	259
864	1651	257
865	1653	255
866	1655	253
867	1657	252
868	1659	250
869	1661	248
870	1663	246
871	1665	244
872	1667	242
873	1669	240
874	1671	238
875	1673	236
876	1674	234
877	1676	233
878	1678	231
879	1680	229
880	1682	227
881	1684	225
882	1686	223
883	1687	221
884	1689	219
885	1691	217
886	1693	215
887	1695	213
888	1697	211
889	1699	210
890	1701	208
891	1702	206
892	1704	204
893	1706	202
894	1708	200
895	1709	198
896	1711	196
897	1713	194
898	1715	192
899	1717	190
900	1718	188
901	1720	186
902	1722	184
903	1723	183
904	1725	181
905	1727	179
906	1729	177
907	1731	175
908	1732	173
909	1734	171
910	1736	169
911	1738	167
912	1739	165
913	1741	163
914	1743	161
915	1745	160
916	1746	158
917	1748	156
918	1750	154
919	1751	152
920	1753	150
921	1755	148
922	1757	146
923	1758	144
924	1760	142
925	1762	140
926	1763	138
927	1765	136
928	1767	135
929	1768	133
930	1770	131
931	1772	129
932	1774	127
933	1775	125
934	1777	123
935	1779	121
936	1781	119
937	1782	117
938	1784	115
939	1786	114
940	1788	112
941	1790	110
942	1791	108
943	1793	106
944	1795	104
945	1796	102
946	1798	100
947	1800	98
948	1802	96
949	1803	94
950	1805	93
951	1807	91
952	1809	89
953	1810	87
954	1812	85
955	1814	83
956	1815	81
957	1817	79
958	1819	77
959	1821	75
960	1822	73
961	1824	72
962	1826	70
963	1828	68
964	1829	66
965	1831	64
966	1833	62
967	1835	60
968	1836	58
969	1838	56
970	1840	54
971	1841	53
972	1843	51
973	1845	49
974	1847	47
975	1848	45
976	1850	43
977	1852	41
978	1853	39
979	1855	37
980	1857	35
981	1859	34
982	1860	32
983	1862	30
984	1864	28
985	1865	26
986	1867	24
987	1869	22
988	1870	20
989	1872	18
990	1874	17
991	1875	15
992	1877	13
993	1879	11
994	1881	9
995	1882	7
996	1884	5
997	1886	3
998	1887	1
999	1889	0
